Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Icetime_seconds,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_Rating,predict
https://en.khl.ru/players/11034/,2016/2017,2,20,44,24,36,159,75543,19.0,26.0,7.0,170.86,https://en.khl.ru/players/11034/,2017/2018,11.0,19.0,41.0,29.0,34.0,170.0,71367.0,29.0,28.0,7.0,182.94,152.77318706141176
https://en.khl.ru/players/11034/,2017/2018,11,19,41,29,34,170,71367,29.0,28.0,7.0,182.94,https://en.khl.ru/players/11034/,2018/2019,8.0,22.0,53.0,34.0,22.0,181.0,78057.0,23.0,42.0,5.0,209.04999999999998,161.37018689956636
https://en.khl.ru/players/12800/,2014/2015,0,2,10,13,32,45,30060,27.0,25.0,2.0,11.85,https://en.khl.ru/players/12800/,2015/2016,2.0,8.0,38.0,26.0,34.0,84.0,64535.0,16.0,47.0,3.0,86.37,96.69291607596752
https://en.khl.ru/players/12800/,2015/2016,2,8,38,26,34,84,64535,16.0,47.0,3.0,86.37,https://en.khl.ru/players/12800/,2016/2017,2.0,5.0,18.0,25.0,26.0,65.0,41552.0,40.0,41.0,1.0,35.8,91.53608007402907
https://en.khl.ru/players/12800/,2016/2017,2,5,18,25,26,65,41552,40.0,41.0,1.0,35.8,https://en.khl.ru/players/12800/,2017/2018,4.0,8.0,15.0,34.0,32.0,76.0,56554.0,17.0,53.0,2.0,25.939999999999998,80.73204440454559
https://en.khl.ru/players/12800/,2017/2018,4,8,15,34,32,76,56554,17.0,53.0,2.0,25.939999999999998,https://en.khl.ru/players/12800/,2018/2019,2.0,8.0,24.0,28.0,45.0,102.0,67684.0,27.0,52.0,3.0,54.51,83.91809625178034
https://en.khl.ru/players/12802/,2014/2015,10,17,36,29,56,178,66905,72.0,33.0,2.0,154.97,https://en.khl.ru/players/12802/,2015/2016,5.0,9.0,25.0,21.0,38.0,96.0,37501.0,32.0,16.0,6.0,84.76,124.06815180550004
https://en.khl.ru/players/12802/,2015/2016,5,9,25,21,38,96,37501,32.0,16.0,6.0,84.76,https://en.khl.ru/players/12802/,2016/2017,12.0,10.0,26.0,31.0,46.0,186.0,53415.0,49.0,46.0,2.0,110.58999999999999,117.9296288070344
https://en.khl.ru/players/12802/,2016/2017,12,10,26,31,46,186,53415,49.0,46.0,2.0,110.58999999999999,https://en.khl.ru/players/12802/,2017/2018,9.0,10.0,28.0,24.0,50.0,144.0,44019.0,82.0,38.0,5.0,122.25,124.37445840279237
https://en.khl.ru/players/12802/,2017/2018,9,10,28,24,50,144,44019,82.0,38.0,5.0,122.25,https://en.khl.ru/players/12802/,2018/2019,2.0,4.0,8.0,11.0,16.0,67.0,23379.0,21.0,12.0,0.0,31.09,107.05503844530472
https://en.khl.ru/players/12810/,2017/2018,5,28,46,39,42,83,71338,15.0,48.0,3.0,162.24,https://en.khl.ru/players/12810/,2018/2019,2.0,12.0,39.0,26.0,20.0,68.0,62710.0,12.0,55.0,4.0,111.91,126.49625181323003
https://en.khl.ru/players/12810/,2018/2019,2,12,39,26,20,68,62710,12.0,55.0,4.0,111.91,https://en.khl.ru/players/12810/,2019/2020,1.0,6.0,12.0,12.0,32.0,23.0,22250.0,7.0,26.0,1.0,25.18,96.89533106949104
