Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/14556/,2020/2021,0,12,31,22,16,27,42430,50.0,41.0,3.0,96.44
https://en.khl.ru/players/14592/,2014/2015,3,10,37,13,56,79,55922,227.0,70.0,4.0,176.98
https://en.khl.ru/players/14651/,2016/2017,11,26,41,17,18,144,58886,45.0,40.0,2.0,238.06
https://en.khl.ru/players/14651/,2017/2018,9,14,23,19,18,121,47071,29.0,41.0,6.0,138.62
https://en.khl.ru/players/14651/,2019/2020,11,30,49,45,17,166,86852,29.0,81.0,11.0,240.85999999999999
https://en.khl.ru/players/14651/,2021/2022,5,26,22,32,20,111,51656,26.0,40.0,5.0,140.99
https://en.khl.ru/players/14691/,2014/2015,9,8,17,23,10,99,43874,40.0,15.0,2.0,82.41
https://en.khl.ru/players/14691/,2015/2016,4,10,23,24,24,88,52990,35.0,38.0,5.0,86.07
https://en.khl.ru/players/14691/,2017/2018,5,12,29,20,24,80,62789,26.0,32.0,2.0,106.85
https://en.khl.ru/players/14691/,2018/2019,3,24,29,27,18,60,54607,22.0,33.0,2.0,133.85
https://en.khl.ru/players/14732/,2016/2017,5,17,26,22,24,84,47807,60.0,29.0,1.0,124.98
https://en.khl.ru/players/14732/,2017/2018,7,11,23,19,23,90,52556,53.0,52.0,5.0,118.69
https://en.khl.ru/players/14732/,2018/2019,2,9,16,9,6,42,23557,34.0,13.0,2.0,80.57
https://en.khl.ru/players/14732/,2019/2020,6,13,31,19,10,61,40233,44.0,29.0,1.0,126.61
https://en.khl.ru/players/14732/,2020/2021,4,13,24,15,6,60,36304,29.0,18.0,0.0,107.42
https://en.khl.ru/players/14737/,2016/2017,0,11,35,25,53,103,59070,165.0,50.0,14.0,145.96
https://en.khl.ru/players/14737/,2017/2018,1,10,34,7,61,44,37760,100.0,29.0,2.0,116.31
https://en.khl.ru/players/14737/,2021/2022,1,10,29,11,31,45,32601,87.0,40.0,2.0,113.61
https://en.khl.ru/players/14782/,2014/2015,4,17,32,31,22,73,68957,24.0,52.0,4.0,115.63
https://en.khl.ru/players/14782/,2016/2017,3,10,14,27,10,56,51247,18.0,44.0,4.0,53.46
https://en.khl.ru/players/14856/,2014/2015,5,12,42,23,56,107,60493,129.0,65.0,8.0,164.82999999999998
https://en.khl.ru/players/14856/,2015/2016,8,10,28,41,87,137,67317,76.0,113.0,4.0,76.14999999999999
https://en.khl.ru/players/14856/,2016/2017,4,10,45,12,26,95,44719,42.0,72.0,5.0,168.24
https://en.khl.ru/players/14856/,2017/2018,5,13,27,20,81,124,50457,53.0,50.0,7.0,105.17
https://en.khl.ru/players/14856/,2018/2019,9,10,36,45,22,154,71506,26.0,99.0,5.0,112.59
https://en.khl.ru/players/14864/,2016/2017,3,15,40,17,37,49,42722,22.0,45.0,3.0,132.53
https://en.khl.ru/players/14864/,2017/2018,4,12,32,15,20,49,41461,28.0,29.0,2.0,115.98
https://en.khl.ru/players/14864/,2018/2019,7,14,33,21,37,70,57272,33.0,21.0,4.0,120.69
https://en.khl.ru/players/14867/,2017/2018,6,9,27,14,30,111,70183,67.0,52.0,13.0,145.78
https://en.khl.ru/players/14881/,2016/2017,2,10,39,40,66,51,65906,36.0,73.0,7.0,61.7
https://en.khl.ru/players/14894/,2014/2015,4,12,29,20,48,66,54363,47.0,38.0,5.0,100.22999999999999
https://en.khl.ru/players/14894/,2015/2016,4,13,24,9,41,69,60388,38.0,50.0,0.0,112.10000000000001
https://en.khl.ru/players/14894/,2016/2017,2,20,25,18,32,102,55484,41.0,52.0,4.0,139.62
https://en.khl.ru/players/14894/,2017/2018,0,16,31,10,24,74,54359,34.0,51.0,7.0,148.38
https://en.khl.ru/players/14894/,2019/2020,4,14,52,25,24,56,63763,49.0,71.0,8.0,172.57
