Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R
https://en.khl.ru/players/13277/,2020/2021,3,8,14,17,39,24,17.0,7.0,4.0,0.8069422652022159
https://en.khl.ru/players/13679/,2014/2015,4,13,21,29,14,98,18.0,16.0,5.0,1.5122785922397448
https://en.khl.ru/players/13679/,2015/2016,16,20,33,35,49,171,16.0,27.0,14.0,2.213533455256354
https://en.khl.ru/players/13679/,2016/2017,1,10,16,13,18,72,6.0,17.0,2.0,1.5493390716261912
https://en.khl.ru/players/13679/,2017/2018,2,7,14,11,16,70,6.0,7.0,4.0,1.4814327100342377
https://en.khl.ru/players/13705/,2014/2015,1,4,9,25,35,64,40.0,12.0,8.0,0.2962649455084118
https://en.khl.ru/players/13705/,2015/2016,11,7,17,16,44,91,63.0,16.0,9.0,1.8410943502295511
https://en.khl.ru/players/13705/,2016/2017,19,12,28,20,48,101,64.0,19.0,10.0,2.790156946328231
https://en.khl.ru/players/13726/,2014/2015,5,8,16,23,23,79,77.0,32.0,7.0,1.8300193559739573
https://en.khl.ru/players/13726/,2015/2016,7,10,23,29,41,84,42.0,47.0,10.0,1.6104085160585933
https://en.khl.ru/players/13726/,2016/2017,10,3,19,27,20,103,50.0,81.0,11.0,1.6827202042474179
https://en.khl.ru/players/13726/,2017/2018,4,6,17,19,18,101,39.0,81.0,11.0,1.6837824097610576
https://en.khl.ru/players/13726/,2018/2019,1,2,5,25,24,68,37.0,72.0,6.0,0.529624180821185
https://en.khl.ru/players/13726/,2019/2020,1,1,6,12,14,35,23.0,26.0,1.0,0.5032712632108707
https://en.khl.ru/players/13739/,2014/2015,9,11,27,21,29,45,33.0,12.0,6.0,2.316465768766025
https://en.khl.ru/players/13739/,2015/2016,4,4,8,13,12,41,12.0,2.0,6.0,1.4305177111716623
https://en.khl.ru/players/13739/,2016/2017,8,11,18,16,62,60,21.0,26.0,11.0,1.608416367406808
https://en.khl.ru/players/13782/,2014/2015,22,12,28,33,16,136,21.0,8.0,22.0,2.6445718177174964
https://en.khl.ru/players/13782/,2015/2016,16,9,21,31,16,120,12.0,1.0,6.0,2.3035336519627045
https://en.khl.ru/players/13782/,2016/2017,15,10,16,27,28,103,22.0,6.0,13.0,1.8144763657879166
https://en.khl.ru/players/13782/,2017/2018,11,9,20,17,28,87,19.0,7.0,5.0,2.17213784092765
https://en.khl.ru/players/13782/,2018/2019,18,21,37,22,18,114,27.0,9.0,9.0,3.072740139297553
https://en.khl.ru/players/13782/,2019/2020,18,17,29,25,10,124,9.0,19.0,3.0,2.855806195716291
https://en.khl.ru/players/13782/,2020/2021,13,19,23,32,14,122,34.0,15.0,8.0,2.0326952032695202
https://en.khl.ru/players/13782/,2021/2022,9,15,17,20,10,85,24.0,3.0,0.0,2.3213697728021074
https://en.khl.ru/players/13859/,2014/2015,5,5,12,24,2,44,55.0,19.0,21.0,1.1908043442306633
https://en.khl.ru/players/13859/,2015/2016,10,13,25,29,24,77,80.0,21.0,16.0,1.8398409188054043
https://en.khl.ru/players/13859/,2016/2017,10,2,16,18,6,33,45.0,10.0,3.0,1.6677145031600544
https://en.khl.ru/players/13859/,2017/2018,2,3,6,9,16,40,38.0,10.0,6.0,0.8572922111866179
https://en.khl.ru/players/13859/,2018/2019,3,5,13,29,14,52,61.0,21.0,10.0,0.5058651026392962
https://en.khl.ru/players/13877/,2014/2015,3,9,13,22,22,44,21.0,8.0,8.0,0.9320070854339828
https://en.khl.ru/players/13877/,2015/2016,7,6,18,24,18,38,16.0,6.0,10.0,0.9158926728586171
https://en.khl.ru/players/13877/,2016/2017,4,8,20,22,18,34,17.0,17.0,9.0,1.2052064920456371
https://en.khl.ru/players/13916/,2014/2015,8,4,13,26,18,88,24.0,14.0,23.0,1.4097292679019597
https://en.khl.ru/players/13916/,2015/2016,13,10,24,22,16,91,17.0,13.0,18.0,2.0820379099388227
https://en.khl.ru/players/13916/,2016/2017,8,7,14,14,4,42,12.0,12.0,14.0,2.1294607970825736
https://en.khl.ru/players/13916/,2017/2018,9,24,26,32,12,109,25.0,17.0,18.0,2.173197234112611
https://en.khl.ru/players/13946/,2014/2015,8,6,17,14,33,83,67.0,7.0,18.0,2.3540272328640666
https://en.khl.ru/players/13946/,2016/2017,6,9,22,12,8,59,23.0,14.0,10.0,2.8116803636999474
https://en.khl.ru/players/13946/,2017/2018,6,6,17,24,52,80,47.0,17.0,8.0,1.1512535029917443
https://en.khl.ru/players/13946/,2018/2019,5,8,15,16,20,98,75.0,15.0,7.0,1.5630614444843693
