Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Icetime_seconds,Hits,Shots_blocked,Penalties_against,Rating
https://en.khl.ru/players/13679/,2017/2018,3,7,15,13,16,78,33949,8.0,8.0,4.0,81
https://en.khl.ru/players/13705/,2014/2015,1,4,9,25,35,64,28353,40.0,12.0,8.0,14
https://en.khl.ru/players/13705/,2015/2016,14,7,21,18,44,110,51755,69.0,20.0,11.0,162
https://en.khl.ru/players/13705/,2016/2017,22,18,40,26,62,126,59438,78.0,23.0,13.0,281
https://en.khl.ru/players/13726/,2014/2015,5,8,16,23,23,79,34098,77.0,32.0,7.0,104
https://en.khl.ru/players/13726/,2015/2016,7,10,23,29,41,84,43964,42.0,47.0,10.0,118
https://en.khl.ru/players/13726/,2016/2017,10,3,19,30,24,113,54897,52.0,83.0,11.0,142
https://en.khl.ru/players/13726/,2017/2018,4,6,17,19,18,101,49175,39.0,81.0,11.0,138
https://en.khl.ru/players/13726/,2018/2019,1,2,5,28,24,70,39103,38.0,75.0,6.0,29
https://en.khl.ru/players/13726/,2019/2020,1,1,6,12,14,35,23844,23.0,26.0,1.0,20
https://en.khl.ru/players/13739/,2014/2015,9,11,27,22,31,46,36830,38.0,19.0,6.0,133
https://en.khl.ru/players/13739/,2015/2016,4,4,8,13,12,41,20552,12.0,2.0,6.0,49
https://en.khl.ru/players/13739/,2016/2017,8,11,18,16,62,60,39542,21.0,26.0,11.0,106
https://en.khl.ru/players/13782/,2014/2015,24,12,32,37,24,152,60581,21.0,8.0,24.0,246
https://en.khl.ru/players/13782/,2015/2016,16,9,21,31,16,120,38289,12.0,1.0,6.0,147
https://en.khl.ru/players/13782/,2016/2017,16,10,16,31,34,138,54674,22.0,6.0,15.0,146
https://en.khl.ru/players/13782/,2017/2018,11,9,20,17,28,87,36738,19.0,7.0,5.0,133
https://en.khl.ru/players/13782/,2018/2019,19,22,39,24,22,128,58653,29.0,9.0,9.0,290
https://en.khl.ru/players/13782/,2019/2020,18,17,30,26,12,129,53280,10.0,21.0,3.0,236
https://en.khl.ru/players/13782/,2020/2021,15,20,24,38,20,136,61664,41.0,16.0,9.0,198
https://en.khl.ru/players/13782/,2021/2022,9,15,17,20,10,85,36444,24.0,3.0,0.0,141
https://en.khl.ru/players/13859/,2014/2015,6,5,13,28,6,45,38906,59.0,19.0,23.0,72
https://en.khl.ru/players/13859/,2015/2016,10,13,25,29,24,77,53809,80.0,21.0,16.0,165
https://en.khl.ru/players/13859/,2016/2017,10,2,17,18,8,33,30746,46.0,10.0,3.0,85
https://en.khl.ru/players/13859/,2017/2018,3,5,10,14,18,46,36406,56.0,11.0,7.0,61
https://en.khl.ru/players/13859/,2018/2019,3,6,14,30,14,59,57803,66.0,21.0,11.0,55
https://en.khl.ru/players/13877/,2014/2015,3,9,13,22,22,44,36695,21.0,8.0,8.0,57
https://en.khl.ru/players/13877/,2015/2016,7,6,18,24,18,38,46512,16.0,6.0,10.0,71
https://en.khl.ru/players/13877/,2016/2017,4,8,20,22,18,34,37338,17.0,17.0,9.0,75
https://en.khl.ru/players/13916/,2014/2015,8,4,13,26,18,88,37454,24.0,14.0,23.0,88
https://en.khl.ru/players/13916/,2015/2016,13,10,24,22,16,91,49855,17.0,13.0,18.0,173
https://en.khl.ru/players/13916/,2016/2017,8,7,14,14,4,42,30712,12.0,12.0,14.0,109
https://en.khl.ru/players/13916/,2017/2018,9,26,28,34,12,114,57233,26.0,18.0,18.0,208
https://en.khl.ru/players/13946/,2014/2015,9,8,21,17,56,105,39071,109.0,11.0,24.0,148
https://en.khl.ru/players/13946/,2015/2016,1,1,2,7,8,30,13259,45.0,8.0,2.0,22
https://en.khl.ru/players/13946/,2016/2017,6,9,22,12,8,59,28595,23.0,14.0,10.0,134
https://en.khl.ru/players/13946/,2017/2018,7,8,23,28,58,120,49610,63.0,17.0,10.0,112
https://en.khl.ru/players/13946/,2018/2019,5,9,18,22,32,108,53630,93.0,16.0,8.0,116
https://en.khl.ru/players/13946/,2019/2020,3,2,9,10,27,33,28072,59.0,16.0,5.0,44
https://en.khl.ru/players/13950/,2014/2015,4,5,13,17,6,74,30360,30.0,10.0,9.0,79
https://en.khl.ru/players/13950/,2015/2016,4,2,9,15,10,45,21500,27.0,4.0,3.0,42
https://en.khl.ru/players/13950/,2016/2017,6,2,16,15,8,51,21418,11.0,7.0,4.0,70
https://en.khl.ru/players/13963/,2014/2015,8,9,25,18,29,89,53397,126.0,36.0,20.0,175
https://en.khl.ru/players/13963/,2015/2016,4,10,16,12,14,40,35921,55.0,23.0,14.0,120
https://en.khl.ru/players/13963/,2016/2017,8,4,23,19,33,63,45558,54.0,31.0,16.0,115
https://en.khl.ru/players/13963/,2017/2018,5,12,27,18,20,60,47557,66.0,43.0,13.0,154
https://en.khl.ru/players/13963/,2018/2019,2,8,18,28,28,55,47797,95.0,46.0,13.0,84
https://en.khl.ru/players/13963/,2019/2020,9,4,21,18,35,54,38426,61.0,22.0,5.0,104
https://en.khl.ru/players/13963/,2020/2021,12,8,34,21,44,62,58418,78.0,62.0,15.0,190
https://en.khl.ru/players/13963/,2021/2022,3,4,14,11,24,40,35379,46.0,44.0,7.0,80
https://en.khl.ru/players/13964/,2014/2015,12,18,30,29,30,90,49235,55.0,13.0,15.0,196
https://en.khl.ru/players/13964/,2015/2016,2,9,10,13,2,35,26084,17.0,6.0,6.0,68
https://en.khl.ru/players/13964/,2016/2017,7,15,30,20,18,53,49827,54.0,16.0,12.0,161
https://en.khl.ru/players/13964/,2017/2018,10,18,33,25,24,90,50882,33.0,18.0,9.0,191
https://en.khl.ru/players/13964/,2018/2019,10,15,20,13,18,67,42280,36.0,35.0,9.0,183
https://en.khl.ru/players/13964/,2019/2020,3,9,16,15,16,36,30020,22.0,24.0,7.0,87
https://en.khl.ru/players/13964/,2020/2021,8,9,22,23,6,44,37610,13.0,28.0,3.0,111
https://en.khl.ru/players/14148/,2014/2015,6,6,20,14,22,49,27154,26.0,19.0,15.0,103
https://en.khl.ru/players/14148/,2015/2016,1,4,12,11,8,29,22274,16.0,12.0,10.0,47
https://en.khl.ru/players/14148/,2016/2017,8,5,14,11,14,86,45389,38.0,14.0,15.0,118
https://en.khl.ru/players/14148/,2017/2018,13,13,22,26,8,103,50438,54.0,22.0,9.0,187
https://en.khl.ru/players/14148/,2018/2019,6,6,12,16,8,58,37565,49.0,11.0,8.0,88
https://en.khl.ru/players/14148/,2019/2020,6,11,17,20,14,96,43622,39.0,19.0,10.0,125
https://en.khl.ru/players/14148/,2020/2021,10,15,31,34,4,108,49222,23.0,20.0,13.0,179
https://en.khl.ru/players/14148/,2021/2022,6,3,17,11,6,35,26662,32.0,14.0,10.0,89
https://en.khl.ru/players/14164/,2016/2017,6,1,12,15,12,64,31627,24.0,14.0,8.0,62
https://en.khl.ru/players/14164/,2017/2018,7,4,14,26,44,73,43692,74.0,19.0,13.0,70
https://en.khl.ru/players/14164/,2018/2019,4,6,15,21,22,66,37132,42.0,19.0,6.0,67
https://en.khl.ru/players/14164/,2019/2020,4,7,17,27,19,72,47071,56.0,36.0,8.0,82
https://en.khl.ru/players/14164/,2020/2021,1,3,11,12,4,33,25640,18.0,10.0,8.0,41
https://en.khl.ru/players/14257/,2014/2015,14,27,38,34,12,200,55644,30.0,11.0,14.0,302
https://en.khl.ru/players/14257/,2015/2016,7,15,20,22,22,154,44998,16.0,9.0,12.0,163
https://en.khl.ru/players/14257/,2016/2017,4,12,21,13,10,84,27719,17.0,5.0,8.0,131
https://en.khl.ru/players/14257/,2017/2018,15,12,29,20,16,115,42642,7.0,10.0,11.0,201
https://en.khl.ru/players/14257/,2018/2019,12,23,35,23,20,121,46451,17.0,10.0,6.0,233
https://en.khl.ru/players/14257/,2019/2020,17,16,34,36,26,160,64680,28.0,20.0,17.0,234
https://en.khl.ru/players/14257/,2020/2021,9,16,22,24,32,96,44197,10.0,14.0,7.0,147
https://en.khl.ru/players/14257/,2021/2022,2,5,10,9,8,64,27850,8.0,5.0,6.0,58
https://en.khl.ru/players/14262/,2018/2019,16,19,40,27,18,106,62035,59.0,25.0,3.0,257
https://en.khl.ru/players/14262/,2019/2020,13,8,21,31,18,96,63322,43.0,47.0,2.0,149
https://en.khl.ru/players/14262/,2020/2021,6,2,15,13,10,49,29244,32.0,20.0,3.0,81
https://en.khl.ru/players/14262/,2021/2022,17,13,37,17,20,89,56418,34.0,30.0,8.0,241
https://en.khl.ru/players/14285/,2014/2015,8,5,23,17,49,64,47628,15.0,14.0,15.0,96
https://en.khl.ru/players/14285/,2015/2016,5,7,18,12,35,42,25219,8.0,9.0,8.0,76
https://en.khl.ru/players/14285/,2016/2017,1,4,9,15,14,20,19399,13.0,15.0,3.0,24
https://en.khl.ru/players/14285/,2017/2018,3,4,14,16,14,34,28384,18.0,28.0,3.0,57
https://en.khl.ru/players/14299/,2014/2015,4,3,10,20,44,63,34279,60.0,16.0,11.0,43
https://en.khl.ru/players/14299/,2015/2016,14,8,29,21,77,115,42348,70.0,16.0,8.0,158
https://en.khl.ru/players/14299/,2016/2017,10,8,24,16,52,108,47131,71.0,31.0,11.0,161
https://en.khl.ru/players/14299/,2017/2018,7,5,18,18,42,83,39010,43.0,19.0,7.0,89
https://en.khl.ru/players/14299/,2018/2019,9,7,18,28,52,111,52134,62.0,20.0,15.0,102
https://en.khl.ru/players/14299/,2019/2020,4,5,11,11,20,73,27750,22.0,8.0,8.0,70
https://en.khl.ru/players/14308/,2015/2016,10,14,29,17,6,76,42631,24.0,13.0,5.0,181
https://en.khl.ru/players/14308/,2016/2017,2,8,12,15,10,28,25054,19.0,16.0,4.0,59
