Profile,Year,Goals,Assists,Plus,Minus,Penalties,Shots,Hits,Shots_blocked,Penalties_against,R,T1_Profile,T1_Year,T1_Goals,T1_Assists,T1_Plus,T1_Minus,T1_Penalties,T1_Shots,T1_Hits,T1_Shots_blocked,T1_Penalties_against,T1_R,predict
https://en.khl.ru/players/13031/,2016/2017,11,5,17,23,41,88,19.0,16.0,10.0,1.2283021282040347,https://en.khl.ru/players/13031/,2017/2018,2.0,1.0,8.0,23.0,8.0,55.0,10.0,15.0,16.0,0.4308191808191808,1.273266472147158
https://en.khl.ru/players/13121/,2014/2015,16,10,26,38,90,164,42.0,10.0,27.0,1.712851843770456,https://en.khl.ru/players/13121/,2015/2016,15.0,13.0,26.0,38.0,34.0,178.0,30.0,13.0,18.0,2.0699221111782906,2.172481673150278
https://en.khl.ru/players/13121/,2015/2016,15,13,26,38,34,178,30.0,13.0,18.0,2.0699221111782906,https://en.khl.ru/players/13121/,2016/2017,20.0,27.0,43.0,31.0,44.0,178.0,26.0,12.0,12.0,3.2688447720410885,2.7703938294008905
https://en.khl.ru/players/13121/,2016/2017,20,27,43,31,44,178,26.0,12.0,12.0,3.2688447720410885,https://en.khl.ru/players/13121/,2017/2018,16.0,20.0,25.0,33.0,54.0,133.0,17.0,11.0,17.0,2.480817888219201,2.675269124448392
https://en.khl.ru/players/13121/,2017/2018,16,20,25,33,54,133,17.0,11.0,17.0,2.480817888219201,https://en.khl.ru/players/13121/,2019/2020,8.0,2.0,15.0,14.0,30.0,62.0,7.0,12.0,6.0,1.744659403714186,1.760451139006414
https://en.khl.ru/players/13131/,2014/2015,10,9,21,27,12,80,37.0,11.0,10.0,1.9538504592057395,https://en.khl.ru/players/13131/,2015/2016,8.0,9.0,24.0,16.0,21.0,94.0,21.0,6.0,6.0,2.5100683712653367,2.1243817375832643
https://en.khl.ru/players/13131/,2015/2016,8,9,24,16,21,94,21.0,6.0,6.0,2.5100683712653367,https://en.khl.ru/players/13131/,2016/2017,6.0,6.0,12.0,17.0,12.0,100.0,15.0,10.0,4.0,1.2560584340228005,1.8530775738723582
https://en.khl.ru/players/13226/,2014/2015,7,12,22,22,14,96,65.0,21.0,30.0,1.5944242887149132,https://en.khl.ru/players/13226/,2015/2016,5.0,4.0,12.0,15.0,18.0,74.0,46.0,29.0,8.0,1.1928708424942696,1.4577085749976786
https://en.khl.ru/players/13226/,2015/2016,5,4,12,15,18,74,46.0,29.0,8.0,1.1928708424942696,https://en.khl.ru/players/13226/,2016/2017,7.0,9.0,26.0,22.0,20.0,104.0,46.0,26.0,24.0,1.8295507179249653,1.9771172541804125
https://en.khl.ru/players/13226/,2016/2017,7,9,26,22,20,104,46.0,26.0,24.0,1.8295507179249653,https://en.khl.ru/players/13226/,2017/2018,2.0,4.0,10.0,10.0,6.0,37.0,14.0,16.0,17.0,1.5745448581269477,1.6953368515744378
https://en.khl.ru/players/13226/,2017/2018,2,4,10,10,6,37,14.0,16.0,17.0,1.5745448581269477,https://en.khl.ru/players/13226/,2018/2019,10.0,18.0,23.0,32.0,18.0,70.0,43.0,22.0,15.0,1.7559389395718543,1.5801356519075946
https://en.khl.ru/players/13226/,2018/2019,10,18,23,32,18,70,43.0,22.0,15.0,1.7559389395718543,https://en.khl.ru/players/13226/,2019/2020,2.0,7.0,13.0,17.0,18.0,58.0,38.0,22.0,9.0,1.0123822132232692,1.4137263909449724
https://en.khl.ru/players/13253/,2014/2015,8,10,18,15,20,58,31.0,19.0,11.0,1.7667602547421764,https://en.khl.ru/players/13253/,2015/2016,9.0,18.0,27.0,32.0,38.0,85.0,50.0,29.0,19.0,1.9292239602050276,1.8014724098282193
https://en.khl.ru/players/13253/,2015/2016,9,18,27,32,38,85,50.0,29.0,19.0,1.9292239602050276,https://en.khl.ru/players/13253/,2016/2017,5.0,8.0,18.0,16.0,16.0,44.0,13.0,16.0,7.0,1.8398345575126576,1.6076619576876343
https://en.khl.ru/players/13253/,2016/2017,5,8,18,16,16,44,13.0,16.0,7.0,1.8398345575126576,https://en.khl.ru/players/13253/,2017/2018,8.0,7.0,14.0,24.0,28.0,83.0,28.0,30.0,13.0,1.0740706913873412,1.4611673586551763
https://en.khl.ru/players/13253/,2017/2018,8,7,14,24,28,83,28.0,30.0,13.0,1.0740706913873412,https://en.khl.ru/players/13253/,2018/2019,6.0,7.0,12.0,32.0,26.0,47.0,51.0,20.0,4.0,0.4393702359950737,0.9227839085518821
